,DATE,UNRATE
0,2002-01-01,5.7
1,2002-02-01,5.7
2,2002-03-01,5.7
3,2002-04-01,5.9
4,2002-05-01,5.8
5,2002-06-01,5.8
6,2002-07-01,5.8
7,2002-08-01,5.7
8,2002-09-01,5.7
9,2002-10-01,5.7
10,2002-11-01,5.9
11,2002-12-01,6.0
12,2003-01-01,5.8
13,2003-02-01,5.9
14,2003-03-01,5.9
15,2003-04-01,6.0
16,2003-05-01,6.1
17,2003-06-01,6.3
18,2003-07-01,6.2
19,2003-08-01,6.1
20,2003-09-01,6.1
21,2003-10-01,6.0
22,2003-11-01,5.8
23,2003-12-01,5.7
24,2004-01-01,5.7
25,2004-02-01,5.6
26,2004-03-01,5.8
27,2004-04-01,5.6
28,2004-05-01,5.6
29,2004-06-01,5.6
30,2004-07-01,5.5
31,2004-08-01,5.4
32,2004-09-01,5.4
33,2004-10-01,5.5
34,2004-11-01,5.4
35,2004-12-01,5.4
36,2005-01-01,5.3
37,2005-02-01,5.4
38,2005-03-01,5.2
39,2005-04-01,5.2
40,2005-05-01,5.1
41,2005-06-01,5.0
42,2005-07-01,5.0
43,2005-08-01,4.9
44,2005-09-01,5.0
45,2005-10-01,5.0
46,2005-11-01,5.0
47,2005-12-01,4.9
48,2006-01-01,4.7
49,2006-02-01,4.8
50,2006-03-01,4.7
51,2006-04-01,4.7
52,2006-05-01,4.6
53,2006-06-01,4.6
54,2006-07-01,4.7
55,2006-08-01,4.7
56,2006-09-01,4.5
57,2006-10-01,4.4
58,2006-11-01,4.5
59,2006-12-01,4.4
60,2007-01-01,4.6
61,2007-02-01,4.5
62,2007-03-01,4.4
63,2007-04-01,4.5
64,2007-05-01,4.4
65,2007-06-01,4.6
66,2007-07-01,4.7
67,2007-08-01,4.6
68,2007-09-01,4.7
69,2007-10-01,4.7
70,2007-11-01,4.7
71,2007-12-01,5.0
72,2008-01-01,5.0
73,2008-02-01,4.9
74,2008-03-01,5.1
75,2008-04-01,5.0
76,2008-05-01,5.4
77,2008-06-01,5.6
78,2008-07-01,5.8
79,2008-08-01,6.1
80,2008-09-01,6.1
81,2008-10-01,6.5
82,2008-11-01,6.8
83,2008-12-01,7.3
84,2009-01-01,7.8
85,2009-02-01,8.3
86,2009-03-01,8.7
87,2009-04-01,9.0
88,2009-05-01,9.4
89,2009-06-01,9.5
90,2009-07-01,9.5
91,2009-08-01,9.6
92,2009-09-01,9.8
93,2009-10-01,10.0
94,2009-11-01,9.9
95,2009-12-01,9.9
96,2010-01-01,9.8
97,2010-02-01,9.8
98,2010-03-01,9.9
99,2010-04-01,9.9
100,2010-05-01,9.6
101,2010-06-01,9.4
102,2010-07-01,9.4
103,2010-08-01,9.5
104,2010-09-01,9.5
105,2010-10-01,9.4
106,2010-11-01,9.8
107,2010-12-01,9.3
108,2011-01-01,9.1
109,2011-02-01,9.0
110,2011-03-01,9.0
111,2011-04-01,9.1
112,2011-05-01,9.0
113,2011-06-01,9.1
114,2011-07-01,9.0
115,2011-08-01,9.0
116,2011-09-01,9.0
117,2011-10-01,8.8
118,2011-11-01,8.6
119,2011-12-01,8.5
120,2012-01-01,8.3
121,2012-02-01,8.3
122,2012-03-01,8.2
123,2012-04-01,8.2
124,2012-05-01,8.2
125,2012-06-01,8.2
126,2012-07-01,8.2
127,2012-08-01,8.1
128,2012-09-01,7.8
129,2012-10-01,7.8
130,2012-11-01,7.7
131,2012-12-01,7.9
132,2013-01-01,8.0
133,2013-02-01,7.7
134,2013-03-01,7.5
135,2013-04-01,7.6
136,2013-05-01,7.5
137,2013-06-01,7.5
138,2013-07-01,7.3
139,2013-08-01,7.2
140,2013-09-01,7.2
141,2013-10-01,7.2
142,2013-11-01,6.9
143,2013-12-01,6.7
144,2014-01-01,6.6
145,2014-02-01,6.7
146,2014-03-01,6.7
147,2014-04-01,6.2
148,2014-05-01,6.3
149,2014-06-01,6.1
150,2014-07-01,6.2
151,2014-08-01,6.1
152,2014-09-01,5.9
153,2014-10-01,5.7
154,2014-11-01,5.8
155,2014-12-01,5.6
156,2015-01-01,5.7
157,2015-02-01,5.5
158,2015-03-01,5.4
159,2015-04-01,5.4
160,2015-05-01,5.6
161,2015-06-01,5.3
162,2015-07-01,5.2
163,2015-08-01,5.1
164,2015-09-01,5.0
165,2015-10-01,5.0
166,2015-11-01,5.1
167,2015-12-01,5.0
168,2016-01-01,4.8
169,2016-02-01,4.9
170,2016-03-01,5.0
171,2016-04-01,5.1
172,2016-05-01,4.8
173,2016-06-01,4.9
174,2016-07-01,4.8
175,2016-08-01,4.9
176,2016-09-01,5.0
177,2016-10-01,4.9
178,2016-11-01,4.7
179,2016-12-01,4.7
180,2017-01-01,4.7
181,2017-02-01,4.6
182,2017-03-01,4.4
183,2017-04-01,4.4
184,2017-05-01,4.4
185,2017-06-01,4.3
186,2017-07-01,4.3
187,2017-08-01,4.4
188,2017-09-01,4.3
189,2017-10-01,4.2
190,2017-11-01,4.2
191,2017-12-01,4.1
192,2018-01-01,4.0
193,2018-02-01,4.1
194,2018-03-01,4.0
195,2018-04-01,4.0
196,2018-05-01,3.8
197,2018-06-01,4.0
198,2018-07-01,3.8
199,2018-08-01,3.8
200,2018-09-01,3.7
201,2018-10-01,3.8
202,2018-11-01,3.8
203,2018-12-01,3.9
204,2019-01-01,4.0
205,2019-02-01,3.8
206,2019-03-01,3.8
207,2019-04-01,3.6
208,2019-05-01,3.7
209,2019-06-01,3.6
210,2019-07-01,3.7
211,2019-08-01,3.7
212,2019-09-01,3.5
213,2019-10-01,3.6
214,2019-11-01,3.6
215,2019-12-01,3.6
216,2020-01-01,3.5
217,2020-02-01,3.5
218,2020-03-01,4.4
219,2020-04-01,14.7
220,2020-05-01,13.2
221,2020-06-01,11.0
222,2020-07-01,10.2
223,2020-08-01,8.4
224,2020-09-01,7.9
225,2020-10-01,6.9
226,2020-11-01,6.7
227,2020-12-01,6.7
228,2021-01-01,6.3
229,2021-02-01,6.2
230,2021-03-01,6.1
231,2021-04-01,6.1
232,2021-05-01,5.8
233,2021-06-01,5.9
234,2021-07-01,5.4
235,2021-08-01,5.2
236,2021-09-01,4.8
237,2021-10-01,4.5
238,2021-11-01,4.2
239,2021-12-01,3.9
240,2022-01-01,4.0
241,2022-02-01,3.8
242,2022-03-01,3.6
243,2022-04-01,3.6
244,2022-05-01,3.6
245,2022-06-01,3.6
246,2022-07-01,3.5
247,2022-08-01,3.7
248,2022-09-01,3.5
