DATE,LFWA64TTUSA647N
2000-01-01,179110250.0
2001-01-01,181420666.666667
2002-01-01,183761750.0
2003-01-01,186914416.666667
2004-01-01,188748083.333333
2005-01-01,191014166.666667
2006-01-01,193201416.666667
2007-01-01,195639000
2008-01-01,196626583.333333
2009-01-01,197803250.0
2010-01-01,199123250.0
2011-01-01,199888916.666667
2012-01-01,201415250.0
2013-01-01,202267583.333333
2014-01-01,202987250.0
2015-01-01,204291750.0
2016-01-01,205502750.0
2017-01-01,205537500.0
2018-01-01,206507750.0
2019-01-01,206269916.666667
2020-01-01,205721083.333333
2021-01-01,205254833.333333
2022-01-01,207263666.666667
