,Date,level_2
1,2002-01-01,93
2,2002-02-01,90.7
3,2002-03-01,95.7
4,2002-04-01,93
5,2002-05-01,96.9
6,2002-06-01,92.4
7,2002-07-01,88.1
8,2002-08-01,87.6
9,2002-09-01,86.1
10,2002-10-01,80.6
11,2002-11-01,84.2
12,2002-12-01,86.7
13,2003-01-01,82.4
14,2003-02-01,79.9
15,2003-03-01,77.6
16,2003-04-01,86
17,2003-05-01,92.1
18,2003-06-01,89.7
19,2003-07-01,90.9
20,2003-08-01,89.3
21,2003-09-01,87.7
22,2003-10-01,89.6
23,2003-11-01,93.7
24,2003-12-01,92.6
25,2004-01-01,103.8
26,2004-02-01,94.4
27,2004-03-01,95.8
28,2004-04-01,94.2
29,2004-05-01,90.2
30,2004-06-01,95.6
31,2004-07-01,96.7
32,2004-08-01,95.9
33,2004-09-01,94.2
34,2004-10-01,91.7
35,2004-11-01,92.8
36,2004-12-01,97.1
37,2005-01-01,95.5
38,2005-02-01,94.1
39,2005-03-01,92.6
40,2005-04-01,87.7
41,2005-05-01,86.9
42,2005-06-01,96
43,2005-07-01,96.5
44,2005-08-01,89.1
45,2005-09-01,76.9
46,2005-10-01,74.2
47,2005-11-01,81.6
48,2005-12-01,91.5
49,2006-01-01,91.2
50,2006-02-01,86.7
51,2006-03-01,88.9
52,2006-04-01,87.4
53,2006-05-01,79.1
54,2006-06-01,84.9
55,2006-07-01,84.7
56,2006-08-01,82
57,2006-09-01,85.4
58,2006-10-01,93.6
59,2006-11-01,92.1
60,2006-12-01,91.7
61,2007-01-01,96.9
62,2007-02-01,91.3
63,2007-03-01,88.4
64,2007-04-01,87.1
65,2007-05-01,88.3
66,2007-06-01,85.3
67,2007-07-01,90.4
68,2007-08-01,83.4
69,2007-09-01,83.4
70,2007-10-01,80.9
71,2007-11-01,76.1
72,2007-12-01,75.5
73,2008-01-01,78.4
74,2008-02-01,70.8
75,2008-03-01,69.5
76,2008-04-01,62.6
77,2008-05-01,59.8
78,2008-06-01,56.4
79,2008-07-01,61.2
80,2008-08-01,63
81,2008-09-01,70.3
82,2008-10-01,57.6
83,2008-11-01,55.3
84,2008-12-01,60.1
85,2009-01-01,61.2
86,2009-02-01,56.3
87,2009-03-01,57.3
88,2009-04-01,65.1
89,2009-05-01,68.7
90,2009-06-01,70.8
91,2009-07-01,66
92,2009-08-01,65.7
93,2009-09-01,73.5
94,2009-10-01,70.6
95,2009-11-01,67.4
96,2009-12-01,72.5
97,2010-01-01,74.4
98,2010-02-01,73.6
99,2010-03-01,73.6
100,2010-04-01,72.2
101,2010-05-01,73.6
102,2010-06-01,76
103,2010-07-01,67.8
104,2010-08-01,68.9
105,2010-09-01,68.2
106,2010-10-01,67.7
107,2010-11-01,71.6
108,2010-12-01,74.5
109,2011-01-01,74.2
110,2011-02-01,77.5
111,2011-03-01,67.5
112,2011-04-01,69.8
113,2011-05-01,74.3
114,2011-06-01,71.5
115,2011-07-01,63.7
116,2011-08-01,55.8
117,2011-09-01,59.5
118,2011-10-01,60.8
119,2011-11-01,63.7
120,2011-12-01,69.9
121,2012-01-01,75
122,2012-02-01,75.3
123,2012-03-01,76.2
124,2012-04-01,76.4
125,2012-05-01,79.3
126,2012-06-01,73.2
127,2012-07-01,72.3
128,2012-08-01,74.3
129,2012-09-01,78.3
130,2012-10-01,82.6
131,2012-11-01,82.7
132,2012-12-01,72.9
133,2013-01-01,73.8
134,2013-02-01,77.6
135,2013-03-01,78.6
136,2013-04-01,76.4
137,2013-05-01,84.5
138,2013-06-01,84.1
139,2013-07-01,85.1
140,2013-08-01,82.1
141,2013-09-01,77.5
142,2013-10-01,73.2
143,2013-11-01,75.1
144,2013-12-01,82.5
145,2014-01-01,81.2
146,2014-02-01,81.6
147,2014-03-01,80
148,2014-04-01,84.1
149,2014-05-01,81.9
150,2014-06-01,82.5
151,2014-07-01,81.8
152,2014-08-01,82.5
153,2014-09-01,84.6
154,2014-10-01,86.9
155,2014-11-01,88.8
156,2014-12-01,93.6
157,2015-01-01,98.1
158,2015-02-01,95.4
159,2015-03-01,93
160,2015-04-01,95.9
161,2015-05-01,90.7
162,2015-06-01,96.1
163,2015-07-01,93.1
164,2015-08-01,91.9
165,2015-09-01,87.2
166,2015-10-01,90
167,2015-11-01,91.3
168,2015-12-01,92.6
169,2016-01-01,92
170,2016-02-01,91.7
171,2016-03-01,91
172,2016-04-01,89
173,2016-05-01,94.7
174,2016-06-01,93.5
175,2016-07-01,90
176,2016-08-01,89.8
177,2016-09-01,91.2
178,2016-10-01,87.2
179,2016-11-01,93.8
180,2016-12-01,98.2
181,2017-01-01,98.5
182,2017-02-01,96.3
183,2017-03-01,96.9
184,2017-04-01,97
185,2017-05-01,97.1
186,2017-06-01,95
187,2017-07-01,93.4
188,2017-08-01,96.8
189,2017-09-01,95.1
190,2017-10-01,100.7
191,2017-11-01,98.5
192,2017-12-01,95.9
193,2018-01-01,95.7
194,2018-02-01,99.7
195,2018-03-01,101.4
196,2018-04-01,98.8
197,2018-05-01,98
198,2018-06-01,98.2
199,2018-07-01,97.9
200,2018-08-01,96.2
201,2018-09-01,100.1
202,2018-10-01,98.6
203,2018-11-01,97.5
204,2018-12-01,98.3
205,2019-01-01,91.2
206,2019-02-01,93.8
207,2019-03-01,98.4
208,2019-04-01,97.2
209,2019-05-01,100
210,2019-06-01,98.2
211,2019-07-01,98.4
212,2019-08-01,89.8
213,2019-09-01,93.2
214,2019-10-01,95.5
215,2019-11-01,96.8
216,2019-12-01,99.3
217,2020-01-01,99.8
218,2020-02-01,101
219,2020-03-01,89.1
220,2020-04-01,71.8
221,2020-05-01,72.3
222,2020-06-01,78.1
223,2020-07-01,72.5
224,2020-08-01,74.1
225,2020-09-01,80.4
226,2020-10-01,81.8
227,2020-11-01,76.9
228,2020-12-01,80.7
229,2021-01-01,79
230,2021-02-01,76.8
231,2021-03-01,84.9
232,2021-04-01,88.3
233,2021-05-01,82.9
234,2021-06-01,85.5
235,2021-07-01,81.2
236,2021-08-01,70.3
237,2021-09-01,72.8
238,2021-10-01,71.7
239,2021-11-01,67.4
240,2021-12-01,70.6
241,2022-01-01,67.2
242,2022-02-01,62.8
243,2022-03-01,59.4
244,2022-04-01,65.2
245,2022-05-01,58.4
246,2022-06-01,50
247,2022-07-01,51.5
248,2022-08-01,58.2
249,2022-09-01,58.6
250,2022-10-01,59.9
251,2022-11-01,56.8
252,2022-12-01,59.7
