,DATE,PCU44414441
0,2002-01-01,135.7
1,2002-02-01,135.7
2,2002-03-01,135.7
3,2002-04-01,135.7
4,2002-05-01,135.7
5,2002-06-01,135.7
6,2002-07-01,135.7
7,2002-08-01,135.7
8,2002-09-01,135.7
9,2002-10-01,135.7
10,2002-11-01,135.7
11,2002-12-01,135.7
12,2003-01-01,135.7
13,2003-02-01,135.7
14,2003-03-01,135.7
15,2003-04-01,135.7
16,2003-05-01,135.7
17,2003-06-01,135.7
18,2003-07-01,135.7
19,2003-08-01,135.7
20,2003-09-01,135.7
21,2003-10-01,135.7
22,2003-11-01,135.7
23,2003-12-01,100.0
24,2004-01-01,102.5
25,2004-02-01,104.1
26,2004-03-01,105.1
27,2004-04-01,108.6
28,2004-05-01,107.7
29,2004-06-01,108.7
30,2004-07-01,113.1
31,2004-08-01,112.5
32,2004-09-01,115.5
33,2004-10-01,110.6
34,2004-11-01,108.4
35,2004-12-01,108.1
36,2005-01-01,108.6
37,2005-02-01,110.8
38,2005-03-01,110.0
39,2005-04-01,110.4
40,2005-05-01,106.9
41,2005-06-01,106.8
42,2005-07-01,106.6
43,2005-08-01,108.1
44,2005-09-01,111.2
45,2005-10-01,111.2
46,2005-11-01,112.6
47,2005-12-01,115.3
48,2006-01-01,115.7
49,2006-02-01,116.6
50,2006-03-01,115.1
51,2006-04-01,117.9
52,2006-05-01,116.4
53,2006-06-01,122.8
54,2006-07-01,122.5
55,2006-08-01,123.6
56,2006-09-01,127.7
57,2006-10-01,122.0
58,2006-11-01,117.2
59,2006-12-01,119.8
60,2007-01-01,119.7
61,2007-02-01,121.0
62,2007-03-01,121.1
63,2007-04-01,121.3
64,2007-05-01,124.6
65,2007-06-01,125.2
66,2007-07-01,125.1
67,2007-08-01,123.5
68,2007-09-01,122.9
69,2007-10-01,122.0
70,2007-11-01,120.2
71,2007-12-01,122.1
72,2008-01-01,120.4
73,2008-02-01,120.5
74,2008-03-01,119.6
75,2008-04-01,119.0
76,2008-05-01,119.5
77,2008-06-01,123.5
78,2008-07-01,123.9
79,2008-08-01,122.6
80,2008-09-01,122.6
81,2008-10-01,120.9
82,2008-11-01,120.6
83,2008-12-01,119.1
84,2009-01-01,122.0
85,2009-02-01,120.9
86,2009-03-01,122.0
87,2009-04-01,122.0
88,2009-05-01,120.8
89,2009-06-01,123.0
90,2009-07-01,121.9
91,2009-08-01,122.6
92,2009-09-01,121.5
93,2009-10-01,118.2
94,2009-11-01,114.9
95,2009-12-01,119.5
96,2010-01-01,119.7
97,2010-02-01,119.6
98,2010-03-01,120.3
99,2010-04-01,126.2
100,2010-05-01,125.6
101,2010-06-01,120.0
102,2010-07-01,122.0
103,2010-08-01,121.3
104,2010-09-01,121.4
105,2010-10-01,120.4
106,2010-11-01,120.2
107,2010-12-01,121.6
108,2011-01-01,122.1
109,2011-02-01,123.8
110,2011-03-01,125.1
111,2011-04-01,125.5
112,2011-05-01,124.2
113,2011-06-01,123.1
114,2011-07-01,123.2
115,2011-08-01,124.3
116,2011-09-01,123.8
117,2011-10-01,126.1
118,2011-11-01,126.0
119,2011-12-01,125.2
120,2012-01-01,126.0
121,2012-02-01,126.9
122,2012-03-01,127.4
123,2012-04-01,128.9
124,2012-05-01,127.8
125,2012-06-01,128.8
126,2012-07-01,128.5
127,2012-08-01,130.4
128,2012-09-01,132.3
129,2012-10-01,132.2
130,2012-11-01,131.4
131,2012-12-01,133.4
132,2013-01-01,135.8
133,2013-02-01,138.9
134,2013-03-01,139.1
135,2013-04-01,141.9
136,2013-05-01,140.7
137,2013-06-01,140.2
138,2013-07-01,140.6
139,2013-08-01,138.0
140,2013-09-01,139.0
141,2013-10-01,137.5
142,2013-11-01,135.8
143,2013-12-01,136.0
144,2014-01-01,136.0
145,2014-02-01,135.6
146,2014-03-01,133.8
147,2014-04-01,133.9
148,2014-05-01,134.1
149,2014-06-01,134.6
150,2014-07-01,136.0
151,2014-08-01,135.7
152,2014-09-01,137.2
153,2014-10-01,136.6
154,2014-11-01,137.1
155,2014-12-01,135.9
156,2015-01-01,136.1
157,2015-02-01,138.6
158,2015-03-01,138.6
159,2015-04-01,137.7
160,2015-05-01,138.7
161,2015-06-01,138.4
162,2015-07-01,139.8
163,2015-08-01,138.3
164,2015-09-01,136.9
165,2015-10-01,136.3
166,2015-11-01,137.5
167,2015-12-01,137.2
168,2016-01-01,136.4
169,2016-02-01,137.8
170,2016-03-01,136.7
171,2016-04-01,137.8
172,2016-05-01,138.5
173,2016-06-01,140.9
174,2016-07-01,139.7
175,2016-08-01,140.5
176,2016-09-01,139.4
177,2016-10-01,138.0
178,2016-11-01,138.9
179,2016-12-01,139.8
180,2017-01-01,140.1
181,2017-02-01,140.3
182,2017-03-01,142.9
183,2017-04-01,141.1
184,2017-05-01,142.2
185,2017-06-01,142.6
186,2017-07-01,143.1
187,2017-08-01,144.9
188,2017-09-01,142.2
189,2017-10-01,143.1
190,2017-11-01,143.5
191,2017-12-01,145.7
192,2018-01-01,145.2
193,2018-02-01,147.1
194,2018-03-01,147.9
195,2018-04-01,150.0
196,2018-05-01,151.4
197,2018-06-01,153.3
198,2018-07-01,154.4
199,2018-08-01,151.9
200,2018-09-01,151.5
201,2018-10-01,152.2
202,2018-11-01,149.8
203,2018-12-01,151.0
204,2019-01-01,148.1
205,2019-02-01,148.4
206,2019-03-01,152.0
207,2019-04-01,155.8
208,2019-05-01,150.2
209,2019-06-01,148.6
210,2019-07-01,151.7
211,2019-08-01,152.1
212,2019-09-01,155.0
213,2019-10-01,152.4
214,2019-11-01,152.2
215,2019-12-01,153.1
216,2020-01-01,153.5
217,2020-02-01,152.2
218,2020-03-01,153.0
219,2020-04-01,155.7
220,2020-05-01,153.5
221,2020-06-01,160.7
222,2020-07-01,163.9
223,2020-08-01,179.8
224,2020-09-01,197.6
225,2020-10-01,196.4
226,2020-11-01,177.5
227,2020-12-01,177.6
228,2021-01-01,189.7
229,2021-02-01,194.9
230,2021-03-01,198.9
231,2021-04-01,213.3
232,2021-05-01,235.1
233,2021-06-01,251.7
234,2021-07-01,229.959
235,2021-08-01,212.302
236,2021-09-01,204.828
237,2021-10-01,204.302
238,2021-11-01,196.066
239,2021-12-01,199.89
240,2022-01-01,217.684
241,2022-02-01,235.392
242,2022-03-01,259.213
243,2022-04-01,255.198
244,2022-05-01,246.398
245,2022-06-01,232.225
246,2022-07-01,223.55
247,2022-08-01,212.657
248,2022-09-01,206.378
249,2022-10-01,209.471
250,2022-11-01,210.49
251,2022-12-01,200.109
