,DATE,PCUATRNWRATRNWR
0,2002-01-01,126.3
1,2002-02-01,126.3
2,2002-03-01,126.3
3,2002-04-01,126.3
4,2002-05-01,126.3
5,2002-06-01,126.3
6,2002-07-01,126.3
7,2002-08-01,126.3
8,2002-09-01,126.3
9,2002-10-01,126.3
10,2002-11-01,126.3
11,2002-12-01,126.3
12,2003-01-01,126.3
13,2003-02-01,126.3
14,2003-03-01,126.3
15,2003-04-01,126.3
16,2003-05-01,126.3
17,2003-06-01,126.3
18,2003-07-01,126.3
19,2003-08-01,126.3
20,2003-09-01,126.3
21,2003-10-01,126.3
22,2003-11-01,126.3
23,2003-12-01,126.3
24,2004-01-01,126.3
25,2004-02-01,126.3
26,2004-03-01,126.3
27,2004-04-01,126.3
28,2004-05-01,126.3
29,2004-06-01,126.3
30,2004-07-01,126.3
31,2004-08-01,126.3
32,2004-09-01,126.3
33,2004-10-01,126.3
34,2004-11-01,126.3
35,2004-12-01,126.3
36,2005-01-01,126.3
37,2005-02-01,126.3
38,2005-03-01,126.3
39,2005-04-01,126.3
40,2005-05-01,126.3
41,2005-06-01,126.3
42,2005-07-01,126.3
43,2005-08-01,126.3
44,2005-09-01,126.3
45,2005-10-01,126.3
46,2005-11-01,126.3
47,2005-12-01,126.3
48,2006-01-01,126.3
49,2006-02-01,126.3
50,2006-03-01,126.3
51,2006-04-01,126.3
52,2006-05-01,126.3
53,2006-06-01,126.3
54,2006-07-01,126.3
55,2006-08-01,126.3
56,2006-09-01,126.3
57,2006-10-01,126.3
58,2006-11-01,126.3
59,2006-12-01,100.0
60,2007-01-01,101.7
61,2007-02-01,101.9
62,2007-03-01,102.3
63,2007-04-01,102.8
64,2007-05-01,103.4
65,2007-06-01,104.7
66,2007-07-01,105.1
67,2007-08-01,105.4
68,2007-09-01,104.5
69,2007-10-01,105.6
70,2007-11-01,106.5
71,2007-12-01,106.6
72,2008-01-01,108.3
73,2008-02-01,108.3
74,2008-03-01,109.8
75,2008-04-01,110.5
76,2008-05-01,112.7
77,2008-06-01,115.1
78,2008-07-01,116.0
79,2008-08-01,116.0
80,2008-09-01,115.1
81,2008-10-01,114.3
82,2008-11-01,112.3
83,2008-12-01,109.9
84,2009-01-01,110.0
85,2009-02-01,108.2
86,2009-03-01,107.2
87,2009-04-01,107.1
88,2009-05-01,106.4
89,2009-06-01,107.0
90,2009-07-01,107.8
91,2009-08-01,108.6
92,2009-09-01,108.0
93,2009-10-01,108.6
94,2009-11-01,109.4
95,2009-12-01,109.4
96,2010-01-01,111.1
97,2010-02-01,111.2
98,2010-03-01,112.1
99,2010-04-01,112.6
100,2010-05-01,112.8
101,2010-06-01,113.6
102,2010-07-01,113.8
103,2010-08-01,113.2
104,2010-09-01,112.2
105,2010-10-01,113.2
106,2010-11-01,113.7
107,2010-12-01,113.9
108,2011-01-01,115.7
109,2011-02-01,116.8
110,2011-03-01,118.7
111,2011-04-01,119.6
112,2011-05-01,120.3
113,2011-06-01,120.4
114,2011-07-01,120.4
115,2011-08-01,120.7
116,2011-09-01,120.1
117,2011-10-01,120.5
118,2011-11-01,120.7
119,2011-12-01,120.9
120,2012-01-01,122.1
121,2012-02-01,122.9
122,2012-03-01,124.1
123,2012-04-01,124.5
124,2012-05-01,124.5
125,2012-06-01,124.5
126,2012-07-01,124.0
127,2012-08-01,124.2
128,2012-09-01,123.3
129,2012-10-01,124.2
130,2012-11-01,124.1
131,2012-12-01,124.0
132,2013-01-01,125.0
133,2013-02-01,125.4
134,2013-03-01,126.3
135,2013-04-01,125.5
136,2013-05-01,125.1
137,2013-06-01,126.0
138,2013-07-01,126.3
139,2013-08-01,126.5
140,2013-09-01,125.1
141,2013-10-01,125.9
142,2013-11-01,125.4
143,2013-12-01,126.8
144,2014-01-01,126.9
145,2014-02-01,127.1
146,2014-03-01,128.4
147,2014-04-01,129.0
148,2014-05-01,129.0
149,2014-06-01,129.7
150,2014-07-01,129.8
151,2014-08-01,130.0
152,2014-09-01,128.4
153,2014-10-01,128.4
154,2014-11-01,128.2
155,2014-12-01,128.3
156,2015-01-01,128.2
157,2015-02-01,127.3
158,2015-03-01,127.7
159,2015-04-01,127.2
160,2015-05-01,127.1
161,2015-06-01,127.9
162,2015-07-01,127.9
163,2015-08-01,126.9
164,2015-09-01,125.5
165,2015-10-01,125.8
166,2015-11-01,125.7
167,2015-12-01,125.2
168,2016-01-01,126.0
169,2016-02-01,125.5
170,2016-03-01,126.1
171,2016-04-01,125.5
172,2016-05-01,124.7
173,2016-06-01,125.7
174,2016-07-01,126.3
175,2016-08-01,125.9
176,2016-09-01,123.8
177,2016-10-01,124.9
178,2016-11-01,125.3
179,2016-12-01,126.3
180,2017-01-01,127.1
181,2017-02-01,127.4
182,2017-03-01,127.0
183,2017-04-01,127.6
184,2017-05-01,127.0
185,2017-06-01,128.1
186,2017-07-01,127.8
187,2017-08-01,127.7
188,2017-09-01,127.6
189,2017-10-01,128.9
190,2017-11-01,129.7
191,2017-12-01,129.1
192,2018-01-01,130.0
193,2018-02-01,131.0
194,2018-03-01,132.3
195,2018-04-01,132.6
196,2018-05-01,132.6
197,2018-06-01,134.2
198,2018-07-01,134.6
199,2018-08-01,134.0
200,2018-09-01,134.5
201,2018-10-01,136.1
202,2018-11-01,136.7
203,2018-12-01,136.3
204,2019-01-01,137.2
205,2019-02-01,136.4
206,2019-03-01,136.8
207,2019-04-01,137.4
208,2019-05-01,137.5
209,2019-06-01,138.3
210,2019-07-01,138.6
211,2019-08-01,137.7
212,2019-09-01,136.7
213,2019-10-01,137.9
214,2019-11-01,137.9
215,2019-12-01,139.7
216,2020-01-01,139.0
217,2020-02-01,138.3
