,DATE,CSUSHPISA
95,2002-01-01,117.143
96,2002-02-01,117.845
97,2002-03-01,118.686
98,2002-04-01,119.61
99,2002-05-01,120.724
100,2002-06-01,121.812
101,2002-07-01,122.887
102,2002-08-01,123.83
103,2002-09-01,124.779
104,2002-10-01,125.734
105,2002-11-01,126.669
106,2002-12-01,127.623
107,2003-01-01,128.46
108,2003-02-01,129.355
109,2003-03-01,130.14700000000002
110,2003-04-01,130.884
111,2003-05-01,131.734
112,2003-06-01,132.649
113,2003-07-01,133.77700000000002
114,2003-08-01,134.968
115,2003-09-01,136.29399999999998
116,2003-10-01,137.532
117,2003-11-01,138.793
118,2003-12-01,140.179
119,2004-01-01,141.64600000000002
120,2004-02-01,143.191
121,2004-03-01,145.059
122,2004-04-01,146.592
123,2004-05-01,148.185
124,2004-06-01,149.85
125,2004-07-01,151.338
126,2004-08-01,152.634
127,2004-09-01,154.179
128,2004-10-01,155.75
129,2004-11-01,157.52700000000002
130,2004-12-01,159.33
131,2005-01-01,161.28799999999998
132,2005-02-01,163.344
133,2005-03-01,165.812
134,2005-04-01,167.50099999999998
135,2005-05-01,169.35
136,2005-06-01,171.19
137,2005-07-01,172.859
138,2005-08-01,174.44299999999998
139,2005-09-01,176.437
140,2005-10-01,178.02700000000002
141,2005-11-01,179.68
142,2005-12-01,180.91
143,2006-01-01,182.32
144,2006-02-01,183.287
145,2006-03-01,184.364
146,2006-04-01,184.329
147,2006-05-01,184.156
148,2006-06-01,183.507
149,2006-07-01,183.067
150,2006-08-01,182.596
151,2006-09-01,182.798
152,2006-10-01,183.198
153,2006-11-01,183.609
154,2006-12-01,184.138
155,2007-01-01,184.516
156,2007-02-01,184.598
157,2007-03-01,184.149
158,2007-04-01,183.01
159,2007-05-01,181.6
160,2007-06-01,180.254
161,2007-07-01,179.111
162,2007-08-01,178.11700000000002
163,2007-09-01,177.558
164,2007-10-01,176.62400000000002
165,2007-11-01,175.14700000000002
166,2007-12-01,174.342
167,2008-01-01,173.132
168,2008-02-01,171.54
169,2008-03-01,170.053
170,2008-04-01,168.338
171,2008-05-01,166.65900000000002
172,2008-06-01,165.017
173,2008-07-01,163.566
174,2008-08-01,161.988
175,2008-09-01,160.308
176,2008-10-01,158.326
177,2008-11-01,156.141
178,2008-12-01,153.618
179,2009-01-01,151.506
180,2009-02-01,150.014
181,2009-03-01,148.66
182,2009-04-01,147.94799999999998
183,2009-05-01,147.695
184,2009-06-01,148.09
185,2009-07-01,148.409
186,2009-08-01,148.27700000000002
187,2009-09-01,148.024
188,2009-10-01,147.849
189,2009-11-01,148.134
190,2009-12-01,147.929
191,2010-01-01,147.395
192,2010-02-01,145.631
193,2010-03-01,145.859
194,2010-04-01,146.404
195,2010-05-01,146.394
196,2010-06-01,145.72
197,2010-07-01,144.99
198,2010-08-01,143.915
199,2010-09-01,143.018
200,2010-10-01,142.531
201,2010-11-01,142.172
202,2010-12-01,142.061
203,2011-01-01,141.52200000000002
204,2011-02-01,140.351
205,2011-03-01,139.982
206,2011-04-01,140.01
207,2011-05-01,139.905
208,2011-06-01,139.862
209,2011-07-01,139.73
210,2011-08-01,139.308
211,2011-09-01,138.66899999999998
212,2011-10-01,137.953
213,2011-11-01,137.153
214,2011-12-01,136.675
215,2012-01-01,136.608
216,2012-02-01,136.533
217,2012-03-01,137.905
218,2012-04-01,139.155
219,2012-05-01,140.155
220,2012-06-01,141.03
221,2012-07-01,141.66899999999998
222,2012-08-01,142.281
223,2012-09-01,142.909
224,2012-10-01,143.602
225,2012-11-01,144.586
226,2012-12-01,145.503
227,2013-01-01,146.827
228,2013-02-01,147.783
229,2013-03-01,149.963
230,2013-04-01,151.519
231,2013-05-01,152.849
232,2013-06-01,154.19899999999998
233,2013-07-01,155.60399999999998
234,2013-08-01,156.965
235,2013-09-01,158.227
236,2013-10-01,159.24200000000002
237,2013-11-01,160.07399999999998
238,2013-12-01,160.993
239,2014-01-01,161.92700000000002
240,2014-02-01,162.52700000000002
241,2014-03-01,163.088
242,2014-04-01,163.395
243,2014-05-01,163.662
244,2014-06-01,164.062
245,2014-07-01,164.576
246,2014-08-01,165.21599999999998
247,2014-09-01,165.907
248,2014-10-01,166.643
249,2014-11-01,167.33700000000002
250,2014-12-01,168.05200000000002
251,2015-01-01,168.634
252,2015-02-01,169.132
253,2015-03-01,169.801
254,2015-04-01,170.299
255,2015-05-01,170.882
256,2015-06-01,171.467
257,2015-07-01,172.12900000000002
258,2015-08-01,172.938
259,2015-09-01,173.83
260,2015-10-01,174.793
261,2015-11-01,175.739
262,2015-12-01,176.545
263,2016-01-01,177.27200000000002
264,2016-02-01,177.65200000000002
265,2016-03-01,178.168
266,2016-04-01,178.768
267,2016-05-01,179.43099999999998
268,2016-06-01,180.079
269,2016-07-01,180.829
270,2016-08-01,181.854
271,2016-09-01,182.827
272,2016-10-01,183.756
273,2016-11-01,184.765
274,2016-12-01,185.726
275,2017-01-01,186.8
276,2017-02-01,187.314
277,2017-03-01,187.992
278,2017-04-01,188.727
279,2017-05-01,189.622
280,2017-06-01,190.512
281,2017-07-01,191.454
282,2017-08-01,192.675
283,2017-09-01,193.774
284,2017-10-01,194.82
285,2017-11-01,195.96400000000003
286,2017-12-01,197.17
287,2018-01-01,198.294
288,2018-02-01,199.211
289,2018-03-01,199.952
290,2018-04-01,200.655
291,2018-05-01,201.433
292,2018-06-01,202.243
293,2018-07-01,202.926
294,2018-08-01,203.71400000000003
295,2018-09-01,204.389
296,2018-10-01,205.159
297,2018-11-01,205.692
298,2018-12-01,206.149
299,2019-01-01,206.495
300,2019-02-01,206.792
301,2019-03-01,207.017
302,2019-04-01,207.51
303,2019-05-01,208.157
304,2019-06-01,208.677
305,2019-07-01,209.319
306,2019-08-01,210.145
307,2019-09-01,210.97
308,2019-10-01,211.874
309,2019-11-01,212.819
310,2019-12-01,213.906
311,2020-01-01,214.904
312,2020-02-01,215.721
313,2020-03-01,216.314
314,2020-04-01,216.80900000000003
315,2020-05-01,217.015
316,2020-06-01,217.657
317,2020-07-01,219.448
318,2020-08-01,222.484
319,2020-09-01,225.937
320,2020-10-01,229.888
321,2020-11-01,233.253
322,2020-12-01,236.433
323,2021-01-01,239.413
324,2021-02-01,242.123
325,2021-03-01,245.325
326,2021-04-01,249.077
327,2021-05-01,253.474
328,2021-06-01,258.423
329,2021-07-01,262.956
330,2021-08-01,267.005
331,2021-09-01,270.523
332,2021-10-01,273.931
333,2021-11-01,277.284
334,2021-12-01,281.266
335,2022-01-01,285.708
336,2022-02-01,290.795
337,2022-03-01,296.271
338,2022-04-01,300.625
339,2022-05-01,303.904
340,2022-06-01,304.817
341,2022-07-01,304.108
342,2022-08-01,301.638
343,2022-09-01,299.443
344,2022-10-01,299.017
345,2022-11-01,298.232
346,2022-12-01,297.189
